Net Asset Value,Repurchase Price,Sale Price,NAV date
15.6806,15.6414,15.6806,21-Jul-15
15.6862,15.647,15.6862,22-Jul-15
15.6897,15.6505,15.6897,23-Jul-15
15.6929,15.6537,15.6929,24-Jul-15
15.7042,15.6649,15.7042,27-Jul-15
15.71,15.6707,15.71,28-Jul-15
15.718,15.6787,15.718,29-Jul-15
15.7223,15.683,15.7223,30-Jul-15
15.7265,15.6872,15.7265,31-Jul-15
15.7379,15.6986,15.7379,03-Aug-15
15.7381,15.6988,15.7381,04-Aug-15
15.7388,15.6995,15.7388,05-Aug-15
15.7438,15.7044,15.7438,06-Aug-15
15.7459,15.7065,15.7459,07-Aug-15
15.7578,15.7184,15.7578,10-Aug-15
15.7616,15.7222,15.7616,11-Aug-15
15.7669,15.7275,15.7669,12-Aug-15
15.7753,15.7359,15.7753,13-Aug-15
15.7798,15.7404,15.7798,14-Aug-15
15.7902,15.7507,15.7902,17-Aug-15
15.7972,15.7577,15.7972,19-Aug-15
15.8006,15.7611,15.8006,20-Aug-15
15.8018,15.7623,15.8018,21-Aug-15
15.8016,15.7621,15.8016,24-Aug-15
15.8039,15.7644,15.8039,25-Aug-15
15.8071,15.7676,15.8071,26-Aug-15
15.8124,15.7729,15.8124,27-Aug-15
15.8154,15.7759,15.8154,28-Aug-15
15.8246,15.785,15.8246,31-Aug-15
15.8302,15.7906,15.8302,01-Sep-15
15.8302,15.7906,15.8302,02-Sep-15
15.8255,15.7859,15.8255,03-Sep-15
15.8248,15.7852,15.8248,04-Sep-15
15.8313,15.7917,15.8313,07-Sep-15
15.8343,15.7947,15.8343,08-Sep-15
15.8408,15.8012,15.8408,09-Sep-15
15.8325,15.7929,15.8325,10-Sep-15
15.8351,15.7955,15.8351,11-Sep-15
15.8442,15.8046,15.8442,14-Sep-15
15.8477,15.8081,15.8477,15-Sep-15
15.8477,15.8081,15.8477,16-Sep-15
15.8606,15.8209,15.8606,18-Sep-15
15.8734,15.8337,15.8734,21-Sep-15
